"State","Population Estimate","Percent of Total population"
"California",38332521,"11.91%"
"Texas",26448193,"8.04%"
"New York",19651127,"6.19%"
"Florida",19552860,"6.01%"
"Illinois",12882135,"4.10%"
"Pennsylvania",12773801,"4.06%"
"Ohio",11570808,"3.69%"
"Georgia",9992167,"3.10%"
"Michigan",9895622,"3.16%"
"North Carolina",9848060,"3.05%"
"New Jersey",8899339,"2.81%"
"Virginia",8260405,"2.56%"
"Washington",6971406,"2.15%"
"Massachusetts",6692824,"2.09%"
"Arizona",6626624,"2.04%"
"Indiana",6570902,"2.07%"
"Tennessee",6495978,"2.03%"
"Missouri",6044171,"1.91%"
"Maryland",5928814,"1.85%"
"Wisconsin",5742713,"1.82%"
"Minnesota",5420380,"1.70%"
"Colorado",5268367,"1.61%"
"Alabama",4833722,"1.53%"
"South Carolina",4774839,"1.48%"
"Louisiana",4625470,"1.45%"
"Kentucky",4395295,"1.39%"
"Oregon",3930065,"1.22%"
"Oklahoma",3850568,"1.20%"
"Puerto Rico",3615086,"1.19%"
"Connecticut",3596080,"1.14%"
"Iowa",3090416,"0.97%"
"Mississippi",2991207,"0.95%"
"Arkansas",2959373,"0.93%"
"Utah",2900872,"0.88%"
"Kansas",2893957,"0.91%"
"Nevada",2790136,"0.86%"
"New Mexico",2085287,"0.66%"
"Nebraska",1868516,"0.58%"
"West Virginia",1854304,"0.59%"
"Idaho",1612136,"0.51%"
"Hawaii",1404054,"0.43%"
"Maine",1328302,"0.42%"
"New Hampshire",1323459,"0.42%"
"Rhode Island",1051511,"0.34%"
"Montana",1015165,"0.32%"
"Delaware",925749,"0.29%"
"South Dakota",844877,"0.26%"
"Alaska",735132,"0.23%"
"North Dakota",723393,"0.21%"
"District of Columbia",646449,"0.19%"
"Vermont",626630,"0.20%"
"Wyoming",582658,"0.18%"
